35.797335,23.1
35.797335,23.51
35.797335,24.86
35.797335,21.53
33.726,16.56
29.61,14.7
34.398,16.86
26.88,13.46
28.476,14.18
17.22,9.09
19.74,10.23
11.949,6.71
7.14,4.53
0,1.3
-2.1,0.35
9.156,5.44
3.36,2.82
-2.1,0.35
0,1.3
3.78,3.01
3.654,2.95
-2.1,0.35
6.069,4.05
4.83,3.48
11.55,6.52
18.543,9.69
15.75,8.42
26.544,13.31
26.88,13.46
35.343,17.29
31.5,15.55
32.151,15.84
34.86,17.07
31.584,15.59
31.71,15.64
28.014,13.97
26.88,13.46
26.166,13.14
27.552,13.76
26.88,13.46
26.46,13.27
25.2,12.7
26.88,13.46
23.1,11.75
21,10.8
25.62,12.89
35.7,17.68
35.797335,23.12
35.797335,23.86
35.797335,23.76
35.797335,23.95
35.797335,21.34
35.28,17.26
35.28,17.26
35.797335,17.83
26.25,13.18
24.15,12.22
7.35,4.62
15.96,8.52
4.2,3.2
14.154,7.7
3.906,3.07
2.73,2.54
5.7225,3.89
4.2,3.2
1.113,1.8
1.05,1.78
0,1.3
1.05,1.78
0,1.3
5.04,3.58
5.145,3.63
6.93,4.44
14.637,7.92
6.51,4.24
27.888,13.92
16.8,8.9
26.943,13.49
29.61,14.7
32.907,16.19
34.419,16.87
34.419,16.87
31.08,15.36
28.35,14.12
28.497,14.19
27.552,13.76
28.119,14.02
27.846,13.9
26.922,13.48
24.36,12.32
25.389,12.79
25.431,12.8
26.04,13.08
27.51,13.74
35.797335,19.45
35.797335,23.19
35.797335,24.9
35.797335,24.9
35.797335,24.37
35.797335,23.38
35.797335,18.44
34.944,17.11
33.39,16.4
29.19,14.5
31.668,15.63
28.728,14.3
26.775,13.41
18.165,9.52
30.24,14.98
22.365,11.42
21.84,11.18
24.843,12.54
22.134,11.31
16.947,8.97
19.908,10.31
13.629,7.47
16.8,8.9
13.2825,7.31
13.86,7.57
12.6,7
10.5,6.05
15.33,8.24
9.87,5.76
20.79,10.7
13.02,7.19
23.1,11.75
23.604,11.98
32.235,15.88
33.6,16.5
35.49,17.36
33.6,16.5
34.314,16.82
29.82,14.79
29.043,14.44
28.224,14.07
28.14,14.03
26.9955,13.51
25.053,12.63
24.15,12.22
23.877,12.1
24.402,12.34
28.623,14.25
35.797335,18.66
35.797335,24.8
35.797335,24.33
35.797335,25.17
35.797335,24.8
35.797335,21.1
30.828,15.25
24.57,12.42
25.2,12.7
18.06,9.47
21,10.8
10.08,5.86
17.85,9.38
7.35,4.62
15.477,8.3
1.05,1.78
0,1.3
3.549,2.91
3.822,3.03
1.89,2.16
1.869,2.15
0.903,1.71
2.121,2.26
1.05,1.78
2.163,2.28
1.05,1.78
1.05,1.78
4.2,3.2
0.777,1.65
7.896,4.87
-0.672,1
10.5,6.05
0,1.3
16.8,8.9
15.351,8.24
25.914,13.02
24.255,12.27
28.56,14.22
27.3,13.65
27.3,13.65
30.87,15.26
30.45,15.08
29.568,14.68
28.686,14.28
27.804,13.88
27.3,13.65
21,10.8
27.93,13.94
35.797335,21.29
35.797335,26.14
35.797335,27.6
35.797335,27.56
35.797335,28.52
35.797335,27.18
35.797335,20.45
35.797335,18.63
35.797335,17.93
31.605,15.6
35.797335,17.98
32.34,15.93
35.07,17.16
25.83,12.98
32.424,15.97
30.87,15.26
31.5,15.55
35.797335,18.31
35.797335,17.54
32.13,15.84
32.382,15.95
30.03,14.88
29.505,14.65
27.363,13.68
26.67,13.36
25.326,12.76
29.4,14.6
29.82,14.79
34.944,17.11
32.949,16.21
33.915,16.64
35.797335,19.35
35.7,17.45
35.797335,19.08
35.797335,18.97
35.797335,18.68
35.797335,18.11
34.02,16.69
34.944,17.11
32.55,16.02
34.02,16.69
30.282,15
29.316,14.56
29.19,14.5
29.4,14.6
29.3265,14.57
29.4,14.6
35.07,17.16
35.797335,20.91
35.797335,26.84
35.797335,24.86
35.797335,26.23
35.797335,25.28
35.797335,24.46
35.797335,21.98
35.797335,18.78
35.797335,18.45
31.08,15.36
31.5,15.55
27.216,13.61
27.951,13.94
18.942,9.87
27.3,13.65
22.89,11.66
24.192,12.24
28.224,14.07
26.565,13.32
25.2,12.7
26.166,13.14
26.04,13.08
26.082,13.1
